,ano_x,tipo_eleicao,sigla_uf,id_municipio,id_municipio_tse,id_candidato_bd,sequencial_candidato,numero,nome,nome_urna,numero_partido,sigla_partido,cargo,situacao,ocupacao,data_nascimento,idade,genero,instrucao,estado_civil,nacionalidade,sigla_uf_nascimento,municipio_nascimento,raca,resultado,fund_outro,fund_part,fund_esp
455,2020,eleicao ordinaria,GO,5201405,92274,713251.0,90000821544,22333,Marcelo Dias,Dentim,22,PL,vereador,deferido,professor e instrutor de formacao profissional,1974-07-27,46,masculino,ensino medio completo,solteiro(a),brasileira,GO,Caldas Novas,indigena,suplente,1500.0,,2380.95
456,2020,eleicao ordinaria,ES,3201308,56251,714420.0,80000888009,51222,Adonaldo Lopes De Oliveira,Adonaldo Lopes,51,PATRIOTA,vereador,deferido,empresario,1971-07-29,49,masculino,ensino medio completo,casado(a),brasileira,MG,Aimorés,indigena,nao eleito,4460.0,,670.0
457,2020,eleicao ordinaria,MT,5105309,91057,715032.0,110000934821,19000,Tairone Pereira De Sousa Wareniwara,Tairone Karaja,19,PODE,vereador,deferido,servidor publico estadual,1986-10-25,34,masculino,ensino medio completo,casado(a),brasileira,MT,Luciara,indigena,nao eleito,,,391.85
458,2020,eleicao ordinaria,AM,1300508,2119,715130.0,40001241111,55227,Erasmo Batista De Oliveira,Erasmo Batista Sateré,55,PSD,vereador,deferido,agente de saude e sanitarista,1979-08-04,41,masculino,ensino fundamental completo,casado(a),brasileira,AM,Barreirinha,indigena,suplente,5000.0,,
459,2020,eleicao ordinaria,MT,5106422,98817,718801.0,110001031173,13123,Matudjo Metuktire,Matudjo Metuktire,13,PT,vereador,deferido,outros,1979-03-15,42,masculino,ensino medio completo,solteiro(a),brasileira,MT,Guarantã Do Norte,indigena,nao eleito,263.6,,4236.0
460,2020,eleicao ordinaria,AM,1304237,98515,720462.0,40000755823,22000,Adalto Afonso Oliveira,Adalto São Pedro,22,PL,vereador,deferido,agricultor,1981-10-26,39,masculino,ensino fundamental incompleto,solteiro(a),brasileira,AM,Tonantins,indigena,suplente,,,
461,2020,eleicao ordinaria,AM,1302553,98396,722889.0,40001243762,90999,Leopoldino Dos Santos Ramos,Leo Ramos,90,PROS,vereador,deferido,professor de ensino medio,1985-11-25,35,masculino,ensino medio completo,solteiro(a),brasileira,AM,Manaquiri,indigena,nao eleito,130.0,,
462,2020,eleicao ordinaria,AM,1300631,2950,725201.0,40000831684,55220,Nelson Da Silva Brasil,Nelson Da Silva,55,PSD,vereador,deferido,agente de saude e sanitarista,1974-01-03,47,masculino,ensino fundamental completo,solteiro(a),brasileira,AM,Beruri,indigena,nao eleito,,,
463,2020,eleicao ordinaria,AM,1300508,2119,726124.0,40001241109,55555,Cleber Carvalho Da Silva,Cleber Sateré,55,PSD,vereador,deferido,outros,1985-01-14,36,masculino,ensino medio completo,solteiro(a),brasileira,AM,Barreirinha,indigena,suplente,3000.0,8.0,
464,2020,eleicao ordinaria,PA,1500602,4111,726181.0,140000722916,10300,Allan Kallberg Pinheiro Nogueira,Allan Kallberg,10,REPUBLICANOS,vereador,deferido,outros,1984-11-06,36,masculino,ensino medio completo,solteiro(a),brasileira,RO,Porto Velho,indigena,nao eleito,322.5,216.0,
465,2020,eleicao ordinaria,TO,1702208,92436,729164.0,270001257627,77500,Ivoneide Marinho Madalena,Ivoneide Pescadora,77,SOLIDARIEDADE,vereador,deferido,pescador,1969-04-24,51,feminino,ensino fundamental incompleto,solteiro(a),brasileira,PA,São João Do Araguaia,indigena,suplente,1800.0,,
466,2020,eleicao ordinaria,MS,5000708,90131,730213.0,120000790489,12012,Maira Regina Rodrigues Campos,Maira Campos,12,PDT,vereador,deferido,outros,1974-07-24,46,feminino,ensino superior incompleto,solteiro(a),brasileira,MS,Anastácio,indigena,suplente,,,
467,2020,eleicao ordinaria,AM,1304237,98515,730437.0,40000891255,25,Alcinei Curica Fermin,Alcinei,25,DEM,vice-prefeito,deferido,professor de ensino fundamental,1980-06-30,40,masculino,ensino medio completo,solteiro(a),brasileira,AM,Tonantins,indigena,,,,
468,2020,eleicao ordinaria,PA,1507458,5797,730569.0,140000928095,14022,Jediael Dedicio De Oliveira,Irmao Jedi Da Movelaria,14,PTB,vereador,deferido,carpinteiro marceneiro e assemelhados,1970-12-13,50,masculino,le e escreve,casado(a),brasileira,MA,Estreito,indigena,suplente,1020.0,,500.0
469,2020,eleicao ordinaria,GO,5200258,93343,730589.0,90001025290,51222,Adriane Pereira De França,India Adriane  Do Brasil,51,PATRIOTA,vereador,deferido,empresario,1975-12-06,45,feminino,ensino medio completo,solteiro(a),brasileira,CE,Iguatu,indigena,nao eleito,,,5000.0
470,2020,eleicao ordinaria,AM,1301209,2259,731452.0,40000880530,15033,Eunerina Marins Da Cruz,Eunerina Miranha,15,MDB,vereador,deferido,agricultor,1961-05-26,59,feminino,ensino fundamental incompleto,viuvo(a),brasileira,AM,Coari,indigena,,1245.0,,480.19
471,2020,eleicao ordinaria,MS,5005400,91073,731691.0,120001015559,10140,Padinho Turibio Sanabrio,Padinho,10,REPUBLICANOS,vereador,deferido,agricultor,1985-03-19,36,masculino,ensino fundamental incompleto,solteiro(a),brasileira,MS,Douradina,indigena,suplente,,,4800.0
472,2020,eleicao ordinaria,MG,3106705,41335,732675.0,130001190620,11901,Gildasio Dias Da Silva,Gil,11,PP,vereador,deferido,bombeiro civil,1973-12-31,47,masculino,ensino superior incompleto,divorciado(a),brasileira,MG,Águas Formosas,indigena,nao eleito,6625.0,,2431.45
473,2020,eleicao ordinaria,TO,1702554,96857,733193.0,270000989995,13100,Maria Márcia Barbosa De Araújo,Maria Márcia,13,PT,vereador,deferido,professor de ensino fundamental,1980-03-03,41,feminino,ensino superior completo,casado(a),brasileira (naturalizada),TO,São Bento Do Tocantins,indigena,nao eleito,390.0,131.5,1765.31
474,2020,eleicao ordinaria,RO,1100015,310,735142.0,220000728772,14114,Dalton Augusto Tupari Firmino,Dalton Tupari,14,PTB,vereador,deferido,outros,1983-08-24,37,masculino,ensino fundamental incompleto,solteiro(a),brasileira,RO,Costa Marques,indigena,eleito por media,800.0,,1000.0
475,2020,eleicao ordinaria,MS,5002407,90557,735614.0,120001084759,13123,Otoniel Ricardo,Otoniel Ricardo,13,PT,vereador,deferido,professor de ensino fundamental,1972-08-06,48,masculino,ensino superior completo,solteiro(a),brasileira,MS,Paranhos,indigena,suplente,392.3,,1000.0
476,2020,eleicao ordinaria,AM,1302405,2518,738481.0,40001156586,11444,Alzenir Ribeiro Da Silva Apurinã,Alzenir,11,PP,vereador,indeferido,agente de saude e sanitarista,1972-12-31,48,masculino,ensino fundamental completo,solteiro(a),brasileira,AM,Lábrea,indigena,,5818.9,,
477,2020,eleicao ordinaria,PR,4126678,75663,738617.0,160000946628,25000,Natalino Jagu Marcolino,Cacique Natalino,25,DEM,vereador,deferido,agricultor,1968-12-25,52,masculino,ensino medio incompleto,casado(a),brasileira,PR,Londrina,indigena,suplente,344.57,,
478,2020,eleicao ordinaria,CE,2307650,15857,739125.0,60000830134,18789,Evanildo Paulino Vieira,Evanildo Paulino,18,REDE,vereador,deferido,trabalhador rural,1980-05-21,40,masculino,ensino medio completo,solteiro(a),brasileira,CE,Maranguape,indigena,nao eleito,,,
479,2020,eleicao ordinaria,RO,1100080,213,740014.0,220000776364,10333,Alcione Da Silva Santos,Professora Alcione,10,REPUBLICANOS,vereador,deferido,professor de ensino fundamental,1983-12-09,37,feminino,ensino superior completo,casado(a),brasileira,RO,Costa Marques,indigena,suplente,900.0,,480.0
480,2020,eleicao ordinaria,MT,5104104,99058,741406.0,110000947172,25456,Samuel Da Silva Colman,Samuel Colman Terena,25,DEM,vereador,deferido,motorista de veiculos de transporte de carga,1977-07-11,43,masculino,ensino medio completo,solteiro(a),brasileira,MS,Anastácio,indigena,suplente,2317.4,,
481,2020,eleicao ordinaria,PA,1505304,5053,742950.0,140001234993,13777,Walter Powci Wai Wai,Walter Wai Wai,13,PT,vereador,deferido,antropologo,1986-12-31,34,masculino,ensino superior completo,solteiro(a),brasileira,PA,Oriximiná,indigena,nao eleito,135.0,,594.27
482,2020,eleicao ordinaria,GO,5219803,95915,742989.0,90001024743,40,Helder Rodrigues De Souza,Helder Do Sindicato,40,PSB,prefeito,deferido,trabalhador rural,1979-10-26,41,masculino,ensino medio completo,casado(a),brasileira,GO,São Domingos,indigena,nao eleito,,,7000.0
483,2020,eleicao ordinaria,RS,4316105,88250,743588.0,210001131490,13550,Tito De Souza,Tito,13,PT,vereador,deferido,agricultor,1979-01-14,42,masculino,ensino fundamental incompleto,casado(a),brasileira,RS,Redentora,indigena,suplente,2387.5,,678.0
484,2020,eleicao ordinaria,PE,2614808,25950,745226.0,170000667579,70355,Jacira Torres Da Silva,Jacira,70,AVANTE,vereador,deferido,agricultor,1971-07-17,49,feminino,ensino medio completo,casado(a),brasileira,PE,Tacaratu,indigena,suplente,,,
485,2020,eleicao ordinaria,MT,5101852,90905,746826.0,110001071228,25333,Alcione Wa Aiha Tseredze,Alcione Tseredze,25,DEM,vereador,deferido,outros,1977-02-12,44,masculino,ensino medio completo,solteiro(a),brasileira,MT,Barra Do Garças,indigena,suplente,1920.0,,
486,2020,eleicao ordinaria,PE,2603454,26298,747541.0,170000864903,55678,Julio Soares De Albuquerque Neto,Julio Soares,55,PSD,vereador,deferido,servidor publico municipal,1971-02-01,50,masculino,ensino medio completo,casado(a),brasileira,PE,Carpina,indigena,suplente,,,
487,2020,eleicao ordinaria,RS,4321402,89311,750125.0,210000653669,11611,José Luis Sales,José Luis Sales,11,PP,vereador,deferido,agricultor,1970-07-31,50,masculino,ensino fundamental incompleto,solteiro(a),brasileira,RS,Tenente Portela,indigena,suplente,805.0,,
488,2020,eleicao ordinaria,BA,2900702,33138,750503.0,50000666069,16000,Jeanne Do Nascimento Rezende,Jeanne Rezende,16,PSTU,vereador,deferido,professor de ensino medio,1973-12-25,47,feminino,ensino superior completo,solteiro(a),brasileira,BA,Catu,indigena,nao eleito,850.0,,500.0
489,2020,eleicao ordinaria,MS,5005251,55026,750703.0,120000783098,15222,Onerimo Godoi,Onerimo Godoi,15,MDB,vereador,deferido,professor de ensino fundamental,1980-02-23,41,masculino,ensino superior completo,casado(a),brasileira,MS,Mundo Novo,indigena,suplente,1900.0,,1452.5
